Rank,Stock,Code,Score,Tags,Investor,InvCount,Price,MCap_Cr,PE,PB,ROE,ROCE,DE,DivYld,EPS_Gr,Rev_Gr,Promoter,Pledge,Sector
273,Inflame Appliances,541083,0,No Data,Ashish Kacholia,1,,,,,,,,,,,,,
274,JMJ Fintech,MEL,0,No Data,Vijay Kedia,1,,,,,,,,,,,,,
275,Jaipan Industries,JAIPAN,0,No Data,Nemish S Shah,1,,,,,,,,,,,,,
276,Joindre Cap Serv,JOINDRE,0,No Data,Nemish S Shah,1,,,,,,,,,,,,,
277,Jumbo Bag,JUMBO,0,No Data,Nemish S Shah,1,,,,,,,,,,,,,
278,KPT Industries,KULKPOWT,0,No Data,Nemish S Shah,1,,,,,,,,,,,,,
279,Kahan Packaging,14620248,0,No Data,Nemish S Shah,1,,,,,,,,,,,,,
280,Kamanwala Housing,KAMANWALA,0,No Data,Nemish S Shah,1,,,,,,,,,,,,,
281,Keltech Energies,KELENRG,0,No Data,Nemish S Shah,1,,,,,,,,,,,,,
282,Kkalpana lndustries,KKALPANAIND,0,No Data,Nemish S Shah,1,,,,,,,,,,,,,
283,Kothari Fermentation,KFBL,0,No Data,Nemish S Shah,1,,,,,,,,,,,,,
284,Laffans Petchems,LAFFANSQ,0,No Data,Nemish S Shah,1,,,,,,,,,,,,,
285,Lasa Supergenerics,LASA,0,No Data,Nemish S Shah,1,,,,,,,,,,,,,
286,MP Today Media,MPTODAY,0,No Data,Mohnish Pabrai,1,,,,,,,,,,,,,
287,Maral Overseas,MARALOVER,0,No Data,Ajay Upadhyaya,1,,,,,,,,,,,,,
288,Mega Fin,MEGFI,0,No Data,Vijay Kedia,1,,,,,,,,,,,,,
289,Megatherm Induction,MEGATHERM,0,No Data,Ashish Kacholia,1,,,,,,,,,,,,,
290,Metal Coatings,METALCO,0,No Data,Nemish S Shah,1,,,,,,,,,,,,,
291,Milestone Furniture,541337,0,No Data,Nemish S Shah,1,,,,,,,,,,,,,
292,Modern Dairies,MODAIRY,0,No Data,Nemish S Shah,1,,,,,,,,,,,,,
293,NPR Finance,NPRFIN,0,No Data,Nemish S Shah,1,,,,,,,,,,,,,
294,Naman In-Store,NAMAN,0,No Data,Ashish Kacholia,1,,,,,,,,,,,,,
295,National Fittings,NATFIT,0,No Data,Nemish S Shah,1,,,,,,,,,,,,,
296,National Oxygen,NOL,0,No Data,Dolly Khanna,1,,,,,,,,,,,,,
297,Natraj Proteins,NATRAJPR,0,No Data,Mohnish Pabrai,1,,,,,,,,,,,,,
298,Newtrac Foods Beverages,EVERTEX,0,No Data,Nemish S Shah,1,,,,,,,,,,,,,
299,PCS Technology,PCS,0,No Data,Nemish S Shah,1,,,,,,,,,,,,,
300,PS IT Infrastructure,PSITINFRA,0,No Data,Vijay Kedia,1,,,,,,,,,,,,,
301,PVV Infra,PVVINFRA,0,No Data,Nemish S Shah,1,,,,,,,,,,,,,
302,Panjon,PANJON,0,No Data,Nemish S Shah,1,,,,,,,,,,,,,
303,Pioneer Investcorp,PIONRINV,0,No Data,Nemish S Shah,1,,,,,,,,,,,,,
